title,type,release_date,status,description,source_url,image_url
Rogue One: A Star Wars Story,Movie,2016-12-16,Released,A standalone film about the Rebel mission to steal the Death Star plans shortly before the events of A New Hope.,https://www.starwars.com/films/rogue-one,/static/images/rogue-one.png
Star Wars: The Last Jedi (Episode VIII),Movie,2017-12-15,Released,"The second film of the sequel trilogy, focusing on Rey's training with Luke Skywalker and the Resistance's struggle against the First Order.",https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,/static/images/the-last-jedi.png
Solo: A Star Wars Story,Movie,2018-05-25,Released,"A standalone film exploring the early adventures of Han Solo, Chewbacca, and Lando Calrissian.",https://www.starwars.com/films/solo,/static/images/solo.png
Star Wars Resistance,Animation,2018-10-07,Released,"An animated series set before and during the sequel trilogy, following pilot Kazuda Xiono and the growing threat of the First Order.",https://www.starwars.com/series/star-wars-resistance,/static/images/resistance.png
The Mandalorian,Series,2019-11-12,Released,"A live-action series following Din Djarin, a Mandalorian bounty hunter, and Grogu in the years after the fall of the Empire.",https://www.starwars.com/series/the-mandalorian,/static/images/the-mandalorian.png
Star Wars: The Rise of Skywalker (Episode IX),Movie,2019-12-20,Released,"The final film of the sequel trilogy, concluding the Skywalker saga and the conflict between the Resistance and the Final Order.",https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,/static/images/the-rise-of-skywalker.png
Star Wars: The Bad Batch,Animation,2021-05-04,Released,An animated series following Clone Force 99 in the aftermath of the Clone Wars and the rise of the Empire.,https://www.starwars.com/series/star-wars-the-bad-batch,/static/images/the-bad-batch.png
The Book of Boba Fett,Series,2021-12-29,Released,A live-action series centered on Boba Fett and Fennec Shand as they attempt to control Jabba the Hutt's former territory.,https://www.starwars.com/series/the-book-of-boba-fett,/static/images/the-book-of-boba-fett.png
Obi-Wan Kenobi,Series,2022-05-27,Released,A live-action limited series following Obi-Wan Kenobi during his exile between Revenge of the Sith and A New Hope.,https://www.starwars.com/series/obi-wan-kenobi,/static/images/obi-wan-kenobi.png
Andor,Series,2022-09-21,Released,A live-action series following Cassian Andor and the early formation of the Rebel Alliance.,https://www.starwars.com/series/andor,/static/images/andor.png
Star Wars: Tales of the Jedi,Animation,2022-10-26,Released,An animated anthology series exploring key moments in the lives of Jedi characters such as Ahsoka Tano and Count Dooku.,https://www.starwars.com/series/tales-of-the-jedi,/static/images/tales-of-the-jedi.png
Ahsoka,Series,2023-08-22,Released,A live-action series following Ahsoka Tano as she investigates a new threat connected to Grand Admiral Thrawn.,https://www.starwars.com/series/ahsoka,/static/images/ahsoka.png
Star Wars: Tales of the Empire,Animation,2024-05-04,Released,An animated anthology series focused on characters connected to the Galactic Empire and the dark side.,https://www.starwars.com/series/tales-of-the-empire,/static/images/tales-of-the-empire.png
The Acolyte,Series,2024-06-04,Released,"A live-action series set during the High Republic era, exploring dark side mysteries before the events of the Skywalker saga.",https://www.starwars.com/series/the-acolyte,/static/images/the-acolyte.png
Skeleton Crew,Series,2024-12-02,Released,A live-action series following a group of children lost in the galaxy during the New Republic era.,https://www.starwars.com/series/skeleton-crew,/static/images/skeleton-crew.png
Star Wars: Tales of the Underworld,Animation,2025-05-04,Released,An animated anthology project focused on underworld figures and criminal elements in the Star Wars galaxy.,https://www.starwars.com,/static/images/tales-of-the-underworld.png
Star Wars: Maul - Shadow Lord,Animation,2026-04-06,Released,An animated Star Wars project centered on Maul and his influence in the criminal underworld.,https://www.starwars.com,/static/images/maul-shadow-lord.png
Star Wars: The Mandalorian and Grogu,Movie,2026-05-22,Released,A theatrical Star Wars film continuing the story of Din Djarin and Grogu after the events of The Mandalorian.,https://www.starwars.com,/static/images/mandalorian-grogu.png
Star Wars: Starfighter,Movie,2027-05-28,Upcoming,An upcoming theatrical Star Wars film planned for release after The Mandalorian and Grogu.,https://www.starwars.com,/static/images/works/starfighter.png
